Requirement Text,Class,Sub-Type,Ambiguity,cleaned_text_stage1,cleaned_text_stage3,predicted_class_id,predicted_class,predicted_ambiguity_id,predicted_ambiguity,predicted_subtype,predicted_subtype_id,llm_rewrite_plain,llm_rewrite_ambiguity_only,llm_rewrite_metadata,llm_rewrite_metadata_rules
The application requires an internet connection to function.,NFR,Maintainability,Non-Ambiguous,requires internet connection function,the application requires an internet connection to function,1,NFR,0,Ambiguous,Maintainability,3.0,The application must establish a network connection to the internet before it can operate.,The application must establish a network connection to the internet before it can operate.,The application must be able to establish and maintain a network connection with the internet in order to operate correctly.,The application must be able to establish and maintain a network connection with the internet in order to operate correctly.
"The application's code structure should be designed for easy extension, facilitating the addition of new features.",NFR,Maintainability,Ambiguous,code structure designed easy extension facilitating addition new feature,the application s code structure should be designed for easy extension facilitating the addition of new features,1,NFR,0,Ambiguous,Maintainability,3.0,"The application's code structure must be designed to support seamless extension and integration of new features, ensuring maintainability and scalability.","The application's code structure must be designed to support seamless extension of new features, ensuring efficient and scalable development.","The application's code structure shall be designed to support seamless integration of new features, ensuring maintainability and scalability.","The application's code structure shall be modular, with clear interfaces and minimal dependencies between components, to enable the seamless integration of new features without disrupting existing functionality."
The application will require well-defined test environments to ensure thorough testing of its various functionalities.,NFR,Maintainability,Ambiguous,require well defined test environment thorough testing various functionality,the application will require well defined test environments to ensure thorough testing of its various functionalities,1,NFR,0,Ambiguous,Maintainability,3.0,The application must provide well-defined test environments to ensure thorough testing of its various functionalities.,The application must provide well-defined test environments to ensure comprehensive testing of its various functionalities.,"The application shall provide a well-documented and easily reproducible test environment configuration, ensuring comprehensive testing of its features.","The application shall provide a set of well-defined, easily configurable test environments that enable thorough testing of its various functionalities."
The application should be designed for easy porting between iOS and Android platforms.,NFR,Maintainability,Ambiguous,designed easy porting io android platform,the application should be designed for easy porting between ios and android platforms,1,NFR,0,Ambiguous,Maintainability,3.0,"The application shall be designed with a modular architecture and platform-agnostic code to enable seamless porting between iOS and Android platforms, ensuring compatibility without requiring significant rework or modifications.","The application shall be designed with a modular architecture that allows for seamless porting between iOS and Android platforms, ensuring identical user experiences across both environments.","The application shall be designed with a modular architecture and platform-agnostic code to enable seamless porting between iOS and Android platforms, ensuring minimal changes are required for deployment on each platform.","The application shall be designed with a modular architecture that allows for seamless integration of platform-specific components, enabling easy porting between iOS and Android platforms without requiring significant changes to the core functionality."
The accuracy of the Generic Question Construction​ part will be close to 80%,NFR,Performance,Ambiguous,accuracy generic question construction part close numtoken,the accuracy of the generic question construction part will be close to numtoken,1,NFR,0,Ambiguous,Performance,2.0,The Generic Question Construction part shall achieve an accuracy of at least 80% in its question generation.,The Generic Question Construction part shall achieve an accuracy of at least 80% in its question generation.,The Generic Question Construction part shall achieve an accuracy of at least 80% in generating correct questions.,The Generic Question Construction part shall achieve an accuracy of at least 80% as measured by the mean absolute error (MAE) or other suitable metrics.
The search feature should be prominent and easy to find for the user.,NFR,Usability,Ambiguous,search feature prominent easy find,the search feature should be prominent and easy to find for the user,1,NFR,0,Ambiguous,Usability,0.0,"The search feature must be prominently displayed and easily accessible to the user, with a clear visual indication of its presence on each page.","The search feature must be prominently displayed and easily accessible to the user, with a clear visual indication of its presence on each page.","The search feature must be prominently displayed and easily accessible from the main user interface, with a clear visual indicator of its availability.","The search feature must be prominently displayed and easily accessible within the application's main interface, with clear visual cues indicating its availability."
"The different search options should be evident, simple and easy to understand.",NFR,Usability,Ambiguous,different search option evident simple easy understand,the different search options should be evident simple and easy to understand,1,NFR,0,Ambiguous,Usability,0.0,"The search options must be clearly labeled, intuitive, and easy to comprehend.","The search options should be clearly labeled, intuitive, and easy to use.","The search options should be clearly labeled and presented in a simple, intuitive manner that is easy for users to understand.","The search options should be clearly labeled and presented in a simple, intuitive manner to facilitate user understanding."
Users should be able to easily understand and select results from the list with just a single click.,NFR,Usability,Ambiguous,easily understand select result list single click,users should be able to easily understand and select results from the list with just a single click,1,NFR,0,Ambiguous,Usability,0.0,"The system shall provide a user interface that allows users to select results from the list with a single click, ensuring intuitive and efficient navigation.","The system shall provide a user interface that allows users to select results from the list with a single click, ensuring intuitive and efficient navigation.","The system shall provide a user interface that allows users to select results from the list with a single click, ensuring intuitive and efficient navigation.","The system shall provide a list of results that can be easily scrolled and selected with a single click, providing clear visual feedback to the user upon selection."
"Map results should be clear and user-friendly, allowing selection of any pin with a single click.",NFR,Usability,Ambiguous,map result clear friendly allowing selection pin single click,map results should be clear and user friendly allowing selection of any pin with a single click,1,NFR,0,Ambiguous,Usability,0.0,"The system shall display map results in a clear and user-friendly format, enabling users to select any pin with a single click.","The system shall display map results in a clear and user-friendly format, enabling users to select any pin with a single click.","The system shall display map results in a clear and user-friendly format, enabling users to select any pin with a single click.","The system shall provide a clear and user-friendly map view, enabling users to select any pin with a single click."
"The information link for each result should be clear, easy to identify, and open with just a single click.",NFR,Usability,Ambiguous,information link result clear easy identify open single click,the information link for each result should be clear easy to identify and open with just a single click,1,NFR,0,Ambiguous,Usability,0.0,"The information link for each result must be visually distinct and easily accessible, allowing users to open it with a single click.","The information link for each result must be visually distinct and easily accessible, allowing users to open it with a single click.","The information link for each result must be visually distinct and easily accessible, allowing users to open it with a single click.","The information link for each result shall be visually distinct, easily accessible via a single click action."
The user interface should be GUI based.,NFR,Usability,Non-Ambiguous,interface gui based,the user interface should be gui based,1,NFR,0,Ambiguous,Usability,0.0,The user interface shall be a graphical user interface (GUI) with visual elements and interactive components.,The user interface shall be a graphical user interface (GUI) with visual elements and interactive components.,"The user interface shall be a graphical user interface (GUI) with visual elements and interactive components, allowing users to interact with the system through mouse clicks, keyboard input, or touch gestures.","The user interface shall be a graphical user interface (GUI) with observable and testable usability features, such as task completion indicators, accessible navigation, immediate feedback on actions taken, learnable layout, and error prevention mechanisms."
The system shall provide selection menus to minimize the need for manual typing of options.,FR,Functional,Non-Ambiguous,selection menu minimize need manual typing option,the system shall provide selection menus to minimize the need for manual typing of options,1,NFR,0,Ambiguous,Usability,0.0,The system shall provide dropdown menus for selecting options to reduce the need for manual typing.,The system shall provide dropdown menus for selecting options to reduce the need for manual typing.,The system shall provide dropdown menus for selecting options to reduce the need for manual typing.,"The system shall display dropdown menus for selecting options, reducing the need for manual typing and improving user efficiency."
Application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power.,NFR,Performance,Ambiguous,prioritizes fast response relies heavily retrieval rather phone processing power,application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power,1,NFR,0,Ambiguous,Performance,2.0,"The application shall prioritize network response time to ensure efficient data retrieval, which is critical for its overall performance.","The application shall prioritize network response time to ensure efficient data retrieval, as it is more critical than processing power.","The application shall respond to network requests within a time threshold of 2 seconds, prioritizing data retrieval over phone processing power.","The application shall respond to network requests within 500 milliseconds, on average, and maintain a minimum throughput of 1000 bytes per second."
The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,NFR,Performance,Ambiguous,minimal logic little issue computation required phone,the application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself,1,NFR,0,Ambiguous,Security,1.0,"The application will have minimal computational requirements, ensuring that it does not overwhelm the phone's processing capabilities.","The application will have minimal computational requirements, ensuring that it does not overwhelm the phone's processing capabilities.","The application will have minimal computational requirements to ensure seamless execution on the target phone devices, with no significant impact on their processing power.","The application will not perform computationally intensive tasks, ensuring that the phone's processing resources are utilized efficiently."
"The only hazard is a user using the device when they should not be, such as while driving.",NFR,Legal,Ambiguous,hazard using device driving,the only hazard is a user using the device when they should not be such as while driving,1,NFR,0,Ambiguous,Usability,0.0,"The device must prevent unauthorized use while the user is engaged in activities that require their full attention, such as driving.",The device must prevent use while the user is operating a vehicle or engaging in other activities that require their full attention.,"The device must prevent unauthorized use while the user is engaged in activities that require their full attention, such as driving.","The device shall provide a clear and prominent warning to the user when it detects they are operating the device while driving, ensuring that users can make an informed decision about their safety."
"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the user’s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.",NFR,Usability,Ambiguous,primary attribute usability given large amount information presented small screen well ability input device reasonable manner much difficult actual computer,the primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen as well as the user s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer,0,FR,0,Ambiguous,N/A,,"The application must provide an intuitive user interface that efficiently presents large amounts of data on a small screen, and enable users to input data with ease, comparable to the experience at a desktop computer.","The application must provide an intuitive and efficient user interface that allows users to easily input data on the small screen, with a level of difficulty comparable to using a computer.","The application must provide an intuitive and efficient user interface that effectively handles large amounts of data on a small screen, ensuring input operations are as seamless and easy to use as those performed on a standard computer.","The application must provide an intuitive user interface that efficiently presents large amounts of data on a small screen, and enable users to input data with ease, comparable to the experience at a desktop computer."
Users shall be able to trust and understand the system through its simplicity and transparency.,NFR,Usability,Ambiguous,trust understand simplicity transparency,users shall be able to trust and understand the system through its simplicity and transparency,1,NFR,0,Ambiguous,Usability,0.0,"The system shall provide a user interface that is intuitive, easy to navigate, and transparent in its functionality, allowing users to understand the system's behavior and make informed decisions.","The system shall provide a user interface that is intuitive, easy to navigate, and transparent in its functionality, allowing users to understand the system's behavior and make informed decisions.","The system shall provide a user interface that is intuitive, easy to navigate, and transparent in its functionality, allowing users to understand the system's behavior and make informed decisions.","The system shall provide clear and concise feedback to users, ensuring that they can easily understand the results of their actions and trust the system's functionality."
The system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy.,NFR,Security,Non-Ambiguous,anonymize aggregate route information enable safe sharing without compromising privacy,the system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy,1,NFR,0,Ambiguous,Security,1.0,"The system shall anonymize route information and aggregate it in a way that enables safe sharing without compromising user privacy, allowing users to share their routes while maintaining confidentiality.",The system shall process route information to produce anonymized and aggregated data that can be safely shared without compromising user privacy.,"The system shall process route information to produce anonymized and aggregated data that can be safely shared without compromising user privacy, ensuring the protection of individual users' identities.","The system shall use a pseudonymization algorithm to replace user identifiers with unique, non-reversible tokens in route information and aggregate the data at least once every 24 hours."
The system shall support the display of all user interface text elements in both English and Dutch.,NFR,Usability,Non-Ambiguous,support display interface text element english dutch,the system shall support the display of all user interface text elements in both english and dutch,1,NFR,0,Ambiguous,Usability,0.0,"The system shall display all user interface text elements in both English and Dutch, with the language selection being determined by the user's preferred locale.",The system shall display all user interface text elements in both English and Dutch.,"The system shall display all user interface text elements in both English and Dutch, with the language selection being configurable by users.","The system shall display all user interface text elements in both English and Dutch, allowing users to select their preferred language."
"For non-programmers, the system shall allow customization of the application's visual style (colors and icons) for easy maintenance.",NFR,Usability,Ambiguous,non programmer allow customization visual style color icon easy maintenance,for non programmers the system shall allow customization of the application s visual style colors and icons for easy maintenance,1,NFR,0,Ambiguous,Usability,0.0,"The system shall provide a user interface for non-technical users to configure the application's visual appearance, including colors and icons, in order to facilitate easy maintenance.","The system shall provide a user interface for non-technical users to configure the application's visual appearance, including colors and icons, in order to facilitate easy maintenance.","The system shall provide a user-friendly interface for non-technical users to customize the application's visual appearance, including colors and icons, in order to facilitate easy maintenance.","The system shall provide a user interface that allows non-technical users to customize the application's visual style, including colors and icons, with observable feedback on changes made."
The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.,NFR,Maintainability,Ambiguous,development team follow best practice clean code software modularity order make maintainable possible,the development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible,1,NFR,0,Ambiguous,Maintainability,3.0,"The development team will adhere to established best practices for clean code and software modularity, ensuring the application's maintainability through modular design and readable code.","The development team will adhere to established best practices for clean code and software modularity, ensuring the application's maintainability through modular design and readable code.","The software development team will adhere to established best practices for clean code and modular design principles to ensure the application's maintainability, enabling efficient updates and modifications.","The software architecture will be designed to ensure modularity, with each component having a single responsibility and minimal dependencies on other components."
The system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities.,NFR,Usability,Ambiguous,offer extensive customization course calendar detail maintaining static design functionality,the system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities,1,NFR,0,Ambiguous,Usability,0.0,"The system shall provide a customizable interface for displaying course and calendar details, while maintaining a fixed design for all other features.","The system shall provide a customizable interface for displaying course and calendar details, while maintaining a fixed design for all other features.","The system shall provide a customizable interface for displaying course and calendar details, with a consistent design for all other features.","The system shall provide a customizable interface for displaying course and calendar details, with a consistent design for all other functionalities."
The accuracy of the Generic Answer Construction​ unit will be close to 70%.,NFR,Performance,Ambiguous,accuracy generic answer construction unit close numtoken,the accuracy of the generic answer construction unit will be close to numtoken,1,NFR,0,Ambiguous,Performance,2.0,The Generic Answer Construction unit must achieve an accuracy of at least 70%.,The Generic Answer Construction unit must achieve an accuracy of at least 69.5% to be considered acceptable.,The Generic Answer Construction unit shall achieve an accuracy of at least 69.5% and no more than 70.5%.,The Generic Answer Construction unit shall achieve an accuracy of at least 69.5% with a standard deviation not exceeding 2.1%.
The accuracy of the Generic Answer Population​ unit will be close to 70%.,NFR,Performance,Ambiguous,accuracy generic answer population unit close numtoken,the accuracy of the generic answer population unit will be close to numtoken,1,NFR,0,Ambiguous,Performance,2.0,The Generic Answer Population unit must achieve an accuracy of at least 69.5% to be considered acceptable.,The Generic Answer Population unit must achieve an accuracy of at least 69.5% to be considered acceptable.,The Generic Answer Population unit shall achieve an accuracy of at least 69.5% and no more than 70.5%.,The Generic Answer Population unit must achieve an accuracy of at least 69.5% within a confidence interval of ±1%.
The FAU class ensures security-relevant events are logged and identifies what information should be included in those logs.,NFR,Security,Ambiguous,fau class ensures security relevant event logged identifies information included log,the fau class ensures security relevant events are logged and identifies what information should be included in those logs,0,FR,0,Ambiguous,N/A,,The FAU class shall log security-relevant events and specify the required information to be included in those logs.,The FAU class shall log security-relevant events and specify the required information to be included in those logs.,The FAU class shall log security-relevant events and specify the required information to be included in those logs.,The FAU class shall log security-relevant events and specify the required information to be included in those logs.
"The system shall be designed for high performance with optimized server queries, instantaneous screen transitions, and sub-second cost-division computation.",NFR,Performance,Ambiguous,designed high performance optimized server query instantaneous screen transition sub second cost division computation,the system shall be designed for high performance with optimized server queries instantaneous screen transitions and sub second cost division computation,1,NFR,0,Ambiguous,Performance,2.0,"The system shall respond to user interactions with optimized server queries, instantaneous screen updates, and sub-second computation of cost divisions.","The system shall respond to user input with optimized server queries, instantaneous screen updates, and sub-second computation of cost divisions.","The system shall respond to user input within 1 second, perform server queries in a time-efficient manner, and execute cost-division computations in less than 2 seconds.","The system shall respond to user input within 500 milliseconds, perform server queries in less than 200 milliseconds per query, and compute cost-division results in under 1 second."
"SplitPay will prioritize user safety by ensuring it doesn't interfere with other apps or data, and in the future, the application will warn users against using it when focus is critical.",NFR,Usability,Ambiguous,splitpay prioritize safety ensuring interfere apps future warn using focus critical,splitpay will prioritize user safety by ensuring it doesn t interfere with other apps or data and in the future the application will warn users against using it when focus is critical,1,NFR,0,Ambiguous,Maintainability,3.0,"SplitPay shall not interfere with the normal functioning of other applications or data on the user's device, and it shall provide a warning to users when running in situations where focus is critical.","SplitPay shall not interfere with the normal functioning of other applications or data on the user's device, and it shall provide a warning to users when its use may compromise their focus in critical situations.","SplitPay shall not interfere with the normal functioning of other applications or data, and it shall provide a warning to users when running in situations where focus is critical.","SplitPay shall not interfere with the normal functioning of other applications or data, and it shall provide a warning to users when running in situations where focus is critical."
The system shall prioritize convenience over robust user authentication by relying solely on Google email verification in the future.,NFR,Security,Ambiguous,prioritize convenience robust authentication relying solely google email verification future,the system shall prioritize convenience over robust user authentication by relying solely on google email verification in the future,1,NFR,0,Ambiguous,Security,1.0,"The system shall authenticate users solely through Google email verification, prioritizing convenience over robust authentication methods.","The system shall authenticate users solely using Google email verification, prioritizing convenience over robust authentication methods.","The system shall authenticate users solely through Google email verification, prioritizing convenience over robust authentication methods.","The system shall authenticate users solely using Google email verification, without requiring additional authentication mechanisms."
"SplitPay's user interface will prioritize usability and clarity, featuring a visually-appealing design and leveraging informative notifications and pop-ups to guide users in the future.",NFR,Usability,Ambiguous,splitpay interface prioritize usability clarity featuring visually appealing design leveraging informative notification pop ups guide future,splitpay s user interface will prioritize usability and clarity featuring a visually appealing design and leveraging informative notifications and pop ups to guide users in the future,1,NFR,0,Ambiguous,Usability,0.0,"The user interface of SplitPay will have a visually appealing design and utilize informative notifications and pop-ups to guide users, prioritizing usability and clarity.","The user interface of SplitPay will have a visually appealing design and use informative notifications and pop-ups to guide users, prioritizing usability and clarity.","The user interface of SplitPay will have a visually appealing design and utilize informative notifications and pop-ups to guide users, ensuring high usability and clarity.","The user interface of SplitPay will provide clear and consistent visual design, with informative notifications and pop-ups that guide users through the application's workflow to ensure task completion."
"The system will prioritize error-free expense splitting calculations while offering full app functionality offline, caching financial data until reconnected.",NFR,Availability,Ambiguous,prioritize error free expense splitting calculation offering full functionality offline caching financial reconnected,the system will prioritize error free expense splitting calculations while offering full app functionality offline caching financial data until reconnected,1,NFR,0,Ambiguous,Availability,4.0,"The system shall prioritize error-free expense splitting calculations and maintain full app functionality offline, caching financial data until reconnection.","The system shall prioritize error-free expense splitting calculations and maintain full app functionality offline, caching financial data until reconnection.","The system shall prioritize error-free expense splitting calculations and maintain full app functionality offline, caching financial data until reconnection with the network.","The system shall maintain a minimum of 99.9% uptime, ensuring error-free expense splitting calculations and full app functionality during offline operation by caching financial data for at least 30 minutes before reconnecting to the network."
All text elements in the user interfaces shall be presented in the selected language.,FR,Functional,Non-Ambiguous,text element interface presented selected language,all text elements in the user interfaces shall be presented in the selected language,0,FR,0,Ambiguous,N/A,,The application shall display all text elements in the user interface in the language selected by the user.,The application shall display all text elements in the user interface in the language chosen by the user.,The application shall display all text elements in the user interface in the language chosen by the user.,The application shall display all text elements in the user interface in the language selected by the end-user.
The system shall support the English language.,FR,Functional,Non-Ambiguous,support english language,the system shall support the english language,1,NFR,0,Ambiguous,Usability,0.0,"The system shall provide support for the English language, including text input and output in English.",The system shall be capable of processing and displaying text in the English language.,The system shall provide user interface and documentation in English.,"The system shall provide a user interface that is fully localized for English, including all text-based content and input fields."
The system shall support Dutch as a user interface language.,FR,Functional,Non-Ambiguous,support dutch interface language,the system shall support dutch as a user interface language,1,NFR,0,Ambiguous,Usability,0.0,"The system shall provide a user interface language option for Dutch, allowing users to select and use the Dutch language as their preferred UI language.","The system shall provide a user interface language option for Dutch, allowing users to select and use the Dutch language as their preferred UI language.","The system shall provide a user interface language option for Dutch, allowing users to select and use the Dutch language as their preferred UI language.","The system shall provide a user interface language option for Dutch, and the selected language shall be displayed in all UI elements, including but not limited to text labels, error messages, and tooltips."
Sub-apps and their launchers shall be added to the main app by a qualified programmer.,NFR,Maintainability,Ambiguous,sub apps launcher added main qualified programmer,sub apps and their launchers shall be added to the main app by a qualified programmer,1,NFR,0,Ambiguous,Maintainability,3.0,The main app shall provide a mechanism for qualified programmers to add sub-apps and their launchers.,The main app shall provide a mechanism for qualified programmers to add sub-apps and their launchers.,The main app shall provide a mechanism for qualified programmers to add sub-apps and their launchers.,"The main app shall provide a mechanism for qualified programmers to dynamically add, remove, and configure sub-apps and their launchers without requiring manual updates or recompilation."
Sub-apps and their launchers in the main app shall be deleted by a qualified programmer.,NFR,Maintainability,Ambiguous,sub apps launcher main deleted qualified programmer,sub apps and their launchers in the main app shall be deleted by a qualified programmer,1,NFR,0,Ambiguous,Maintainability,3.0,The main app shall provide a mechanism for qualified programmers to delete sub-apps and their launchers.,The main app shall provide a mechanism for qualified programmers to delete sub-apps and their launchers.,The main app shall provide a mechanism for qualified programmers to delete sub-apps and their launchers.,"The main app shall provide a mechanism for qualified programmers to delete sub-apps and their launchers, ensuring that the deletion process is reversible and does not compromise system integrity."
System shall be able to search for a certain building on the campus of the TU/e by name.,FR,Functional,Non-Ambiguous,search certain building campus tu e name,system shall be able to search for a certain building on the campus of the tu e by name,0,FR,0,Ambiguous,N/A,,The system shall provide a search function that allows users to find buildings on the TU/e campus by specifying their name.,The system shall provide a search function that returns the location of a specific building on the TU/e campus when searching by name.,The system shall retrieve the location of a specific building on the TU/e campus by searching for its name.,The system shall provide a search function that returns the location of a building on the TU/e campus when searching by name.
System shall be able to search for a certain building on the campus of the TU/e by address.,FR,Functional,Non-Ambiguous,search certain building campus tu e address,system shall be able to search for a certain building on the campus of the tu e by address,0,FR,0,Ambiguous,N/A,,The system shall provide a search function that returns the building information for a given address on the TU/e campus.,The system shall provide a search function that returns the location of a specific building on the TU/e campus when searching by address.,"The system shall retrieve a building's information from the campus map database by searching for its address, specifically TU/e campus.",The system shall provide a search function that returns the location of a building on the TU/e campus when searching by address.
