Requirement Text,Class,Sub-Type,Ambiguity
Login communication must be 100% encrypted to prevent usernames and passwords from being intercepted during data exchange between the application and server.,NFR,Security,Non-Ambiguous
The restaurant owner login system must always prevent unauthorized access by notifying users of failed login attempts with non-existent accounts.,NFR,Security,Non-Ambiguous
The admin login system must always block unauthorized access and notify admins of failed login attempts with non-existent accounts.,NFR,Security,Non-Ambiguous
"To prevent unauthorized access, restaurant owner accounts will be locked for 30 minutes after three failed login attempts, disabling login functionality during that period.",NFR,Security,Non-Ambiguous
"Admin accounts will be secured by a 30-minute lockout following three failed login attempts, preventing access from that IP address during the lockout period.",NFR,Security,Non-Ambiguous
"The system will enforce unique usernames during user account creation, prompting users to choose a different username if their desired one is already taken.",FR,Functional,Non-Ambiguous
"Restaurant owner account creation prioritizes security by enforcing unique usernames, requiring them to choose a different option if their desired name is unavailable.",FR,Functional,Non-Ambiguous
"The application's code structure should be designed for easy extension, facilitating the addition of new features.",NFR,Maintainability,Ambiguous
The application will require well-defined test environments to ensure thorough testing of its various functionalities.,NFR,Maintainability,Ambiguous
The application should be designed for easy porting between iOS and Android platforms.,NFR,Maintainability,Ambiguous
"The system must support 10,000 concurrent users with a maximum response time of 2 seconds.",NFR,Performance,Non-Ambiguous
"The system will be developed using Waterfall methodology, Object-Oriented Programming in Java, targeting Android devices 2.3 onwards with a mandatory internet connection.",NFR,Maintainability,Non-Ambiguous
​ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR,Maintainability,Non-Ambiguous
The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,NFR,Performance,Non-Ambiguous
The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.,NFR,Performance,Non-Ambiguous
The accuracy of the Generic Question Construction​ part will be close to 80%,NFR,Performance,Ambiguous
The system will be designed in such a way that the algorithms for the four main units will be easily swapped out.,NFR,Maintainability,Non-Ambiguous
"A Drexel University Web API is being designed to answer questions about campus facilities, staff, policies, dining, and food trucks, with accuracy ranging from 40% for food trucks to 80% for generic question construction.",NFR,Performance,Non-Ambiguous
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds",NFR,Performance,Non-Ambiguous
"The connection between the Web API and the programs will use HTTPS, for security.",NFR,Security,Non-Ambiguous
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NFR,Usability,Non-Ambiguous
The search feature should be prominent and easy to find for the user.,NFR,Usability,Ambiguous
"The different search options should be evident, simple and easy to understand.",NFR,Usability,Ambiguous
Users should be able to easily understand and select results from the list with just a single click.,NFR,Usability,Ambiguous
"Map results should be clear and user-friendly, allowing selection of any pin with a single click.",NFR,Usability,Ambiguous
"The information link for each result should be clear, easy to identify, and open with just a single click.",NFR,Usability,Ambiguous
The user interface should be GUI based.,NFR,Usability,Non-Ambiguous
The user shall be able to enter data using a cell phone keypad layout.,FR,Functional,Non-Ambiguous
Users shall be able to configure settings both locally on the device and remotely.,FR,Functional,Non-Ambiguous
The system shall provide selection menus to minimize the need for manual typing of options.,FR,Functional,Non-Ambiguous
Application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power.,NFR,Performance,Ambiguous
The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,NFR,Performance,Ambiguous
"The only hazard is a user using the device when they should not be, such as while driving.",NFR,Legal,Ambiguous
Secure connection to an internal system shall be required for user login and identification.,NFR,Security,Non-Ambiguous
"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the user’s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.",NFR,Usability,Ambiguous
"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours).",NFR,Performance,Non-Ambiguous
Users shall be able to trust and understand the system through its simplicity and transparency.,NFR,Usability,Ambiguous
The system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy.,NFR,Security,Non-Ambiguous
The system shall employ encryption for all privacy-sensitive data at rest to ensure both security and basic functionality.,NFR,Security,Non-Ambiguous
The system shall allow users to create unverified (anonymous) avatars or aliases.,FR,Functional,Non-Ambiguous
"The system shall empower end-users to manage their private data, including the option to delete their personal repository.",FR,Functional,Non-Ambiguous
"The system shall be multilingual, supporting English, Turkish, Finnish, and Italian for international deployment.",NFR,Usability,Non-Ambiguous
The system shall support the display of all user interface text elements in both English and Dutch.,NFR,Usability,Non-Ambiguous
The system shall allow qualified programmers to extend functionality through adding sub-apps and launchers.,NFR,Maintainability,Non-Ambiguous
The system shall allow authorized users to delete sub-apps and their launchers within the main application.,FR,Functional,Non-Ambiguous
"The system shall allow application maintainers to configure information sources for sub-applications like agenda, news, Facebook, and Twitter.",FR,Functional,Non-Ambiguous
"For non-programmers, the system shall allow customization of the application's visual style (colors and icons) for easy maintenance.",NFR,Usability,Ambiguous
"The application shall be extensible, allowing skilled Java Android programmers to add new sub-applications with launchers to the main interface.",NFR,Maintainability,Non-Ambiguous
Radford University students shall use their RU credentials to access automatic class schedule and assignment sharing.,FR,Functional,Non-Ambiguous
"The system shall operate primarily offline, with networked authentication components functioning only when Radford University's systems are available.",NFR,Availability,Non-Ambiguous
The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.,NFR,Maintainability,Ambiguous
Users will be able to access this application on or off campus anytime on their mobile device without the need of an internet connection.,NFR,Availability,Non-Ambiguous
The system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities.,NFR,Usability,Ambiguous
"The system shall function as a reusable semester-to-semester application for returning students, offering automatic class schedule updates and integration with the Radford University mobile app.",FR,Functional,Non-Ambiguous
The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,NFR,Maintainability,Ambiguous
The overall accuracy shall be calculated by dividing total number of correct answers by the number of questions asked.,NFR,Performance,Non-Ambiguous
The accuracy of the Generic Question Construction​ part will be close to 80%.,NFR,Performance,Ambiguous
The accuracy of the Generic Answer Construction​ unit will be close to 70%.,NFR,Performance,Ambiguous
The accuracy of the Generic Answer Population​ unit will be close to 70%.,NFR,Performance,Ambiguous
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds.",NFR,Performance,Non-Ambiguous
The FAU class ensures security-relevant events are logged and identifies what information should be included in those logs.,NFR,Security,Ambiguous
"The system shall be designed for high performance with optimized server queries, instantaneous screen transitions, and sub-second cost-division computation.",NFR,Performance,Ambiguous
"SplitPay will prioritize user safety by ensuring it doesn't interfere with other apps or data, and in the future, the application will warn users against using it when focus is critical.",NFR,Usability,Ambiguous
The system shall prioritize convenience over robust user authentication by relying solely on Google email verification in the future.,NFR,Security,Ambiguous
"SplitPay's user interface will prioritize usability and clarity, featuring a visually-appealing design and leveraging informative notifications and pop-ups to guide users in the future.",NFR,Usability,Ambiguous
"The system will prioritize error-free expense splitting calculations while offering full app functionality offline, caching financial data until reconnected.",NFR,Availability,Ambiguous
All text elements in the user interfaces shall be presented in the selected language.,FR,Functional,Non-Ambiguous
The system shall support the English language.,FR,Functional,Non-Ambiguous
The system shall support Dutch as a user interface language.,FR,Functional,Non-Ambiguous
Sub-apps and their launchers shall be added to the main app by a qualified programmer.,NFR,Maintainability,Ambiguous
Sub-apps and their launchers in the main app shall be deleted by a qualified programmer.,NFR,Maintainability,Ambiguous
"System shall be able to change the colors used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,Non-Ambiguous
"System shall be able to change the fonts used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,Non-Ambiguous
"System shall be able to change the icons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,Non-Ambiguous
"System shall be able to change the buttons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,Non-Ambiguous
"System shall be able to change the background used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,Non-Ambiguous
"System shall be able to change the text elements used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,Non-Ambiguous
The system shall restrict language selection to the main application.,FR,Functional,Non-Ambiguous
The default language of insErtion will be English.,FR,Functional,Non-Ambiguous
The system shall display a launcher to the Map-app version 3.1.3 on the main menu.,FR,Functional,Non-Ambiguous
The system shall display a launcher to the News-app version 3.1.4 on the main menu.,FR,Functional,Non-Ambiguous
The system shall display a launcher to the Agenda-app version 3.1.5 on the main menu.,FR,Functional,Non-Ambiguous
The system shall display a launcher to the Facebook-app version 3.1.9 on the main menu.,FR,Functional,Non-Ambiguous
The system shall display a launcher to the Twitter-app version 3.1.10 on the main menu.,FR,Functional,Non-Ambiguous
The system shall display a launcher to the Employee-finder-app version 3.1.6 on the main menu.,FR,Functional,Non-Ambiguous
"The system shall conditionally display a launcher to the Encyclopedia-app on the main menu, only when the Dutch language is selected.",FR,Functional,Non-Ambiguous
"The system shall conditionally display a launcher to the Student handbook-app on the main menu, only when the Dutch language is selected.",FR,Functional,Non-Ambiguous
The system shall be able to like insApption from the main menu.,FR,Functional,Non-Ambiguous
The system shall be able to tweet about insApption from the main menu.,FR,Functional,Non-Ambiguous
The system shall provide a link to the Twitter settings menu.,FR,Functional,Non-Ambiguous
The system shall provide a link to the Facebook settings menu.,FR,Functional,Non-Ambiguous
"In the Twitter settings menu, the user shall be able to save their username and password for Twitter.",FR,Functional,Non-Ambiguous
"In the Facebook settings menu, the user shall be able to save their username and password for Facebook.",FR,Functional,Non-Ambiguous
"In the Twitter settings menu, the system shall allow the user to delete their saved username and password for Twitter.",FR,Functional,Non-Ambiguous
"In the Facebook settings menu, the system shall allow the user to delete their saved username and password for Facebook.",FR,Functional,Non-Ambiguous
System shall be able to modify the appearance of the separate launchers.,FR,Functional,Non-Ambiguous
System shall be able to search for a certain building on the campus of the TU/e by name.,FR,Functional,Non-Ambiguous
System shall be able to search for a certain building on the campus of the TU/e by address.,FR,Functional,Non-Ambiguous
System shall be able to search for a certain POI on the campus of the TU/e by name.,FR,Functional,Non-Ambiguous
System shall be able to display a set of buildings that match the search input for queries described in requirements UCR201 and UCA202.,FR,Functional,Non-Ambiguous
System shall be able to display a set of POI's that match the search input when a user performs a search by name.,FR,Functional,Non-Ambiguous
"System shall be able to display an element from the search result (buildings or POIs) in the map view, following requirements UCAR201, UCAR202, and UCAR203.",FR,Functional,Non-Ambiguous
System shall be able to navigate between buildings on the campus.,FR,Functional,Non-Ambiguous
System shall be able to navigate from a building to a POI on the campus.,FR,Functional,Non-Ambiguous
System shall be able to navigate from a POI to a building on the campus.,FR,Functional,Non-Ambiguous
System shall be able to navigate between POIs on the campus.,FR,Functional,Non-Ambiguous
"System shall be able to navigate from a POI to another location on the campus (which could be a building, street, etc.).",FR,Functional,Ambiguous
System shall be able to navigate from a street on the campus to another location on the campus.,FR,Functional,Ambiguous
System shall be able to switch between different means of transportation while navigating.,FR,Functional,Non-Ambiguous
System shall be able to search for the from-location by the name of a building.,FR,Functional,Non-Ambiguous
System shall be able to search for the from-location by the address of a building.,FR,Functional,Non-Ambiguous
System shall be able to search for the from-location by the name of a POI.,FR,Functional,Non-Ambiguous
System shall allow selecting the from-location from the search results obtained based on requirements UCAR211 and UCAR212.,FR,Functional,Non-Ambiguous
System shall be able to allow selecting the from-location on the map.,FR,Functional,Non-Ambiguous
System shall be able to search for the to-location by the name of a building.,FR,Functional,Non-Ambiguous
System shall be able to search for the to-location by the address of a building.,FR,Functional,Non-Ambiguous
System shall be able to search for the to-location by the name of a POI.,FR,Functional,Non-Ambiguous
System shall allow selecting the to-location from the search results obtained based on requirements UCAR215 and UCAR216.,FR,Functional,Non-Ambiguous
System shall be able to allow selecting the to-location on the map.,FR,Functional,Non-Ambiguous
System shall be able to show the route planned by the navigator in the map view.,FR,Functional,Non-Ambiguous
System shall display a stylistic map view in the application.,FR,Functional,Non-Ambiguous
System shall display a satellite map view in the application.,FR,Functional,Non-Ambiguous
System shall be able to allow users to switch between the stylistic and satellite map views.,FR,Functional,Non-Ambiguous
System shall be able to allow users to zoom in and out of the map view.,FR,Functional,Non-Ambiguous
System shall be able to allow users to pan around the map view.,FR,Functional,Non-Ambiguous
System shall: Show the user's current location on the map view.,FR,Functional,Non-Ambiguous
System shall be able to indicate POIs of a building.,FR,Functional,Non-Ambiguous
System shall be able to allow users to tweet their current location.,FR,Functional,Non-Ambiguous
System shall be able to allow users to change their Facebook status to include their current location.,FR,Functional,Non-Ambiguous
Administrators shall be able to change the stylistic map.,FR,Functional,Non-Ambiguous
Administrators shall be able to add buildings.,FR,Functional,Non-Ambiguous
Administrators shall be able to remove buildings.,FR,Functional,Non-Ambiguous
Administrators shall be able to add vertices to paths used in the route planner.,FR,Functional,Non-Ambiguous
Administrators shall be able to remove vertices from paths used in the route planner.,FR,Functional,Non-Ambiguous
Administrators shall be able to remove edges from paths used in the route planner.,FR,Functional,Non-Ambiguous
Administrators shall be able to add edges to paths used in the route planner.,FR,Functional,Non-Ambiguous
"Administrators shall be able to add POIs associated with a specific building, floor, and room number.",FR,Functional,Non-Ambiguous
"Administrators shall be able to remove POIs associated with a specific building, floor, and room number.",FR,Functional,Non-Ambiguous
"Administrators shall be able to link a POI to a specific building, floor, and room number.",FR,Functional,Non-Ambiguous
"Administrators shall be able to unlink a POI from a specific building, floor, and room number.",FR,Functional,Non-Ambiguous
System shall show titles of all news items available through the news RSS feeds on the title screen.,FR,Functional,Non-Ambiguous
System shall show the first lines of news articles based on the titles on the title screen.,FR,Functional,Non-Ambiguous
System shall display the full news report after a user chooses the corresponding news title.,FR,Functional,Non-Ambiguous
User shall be able to like a certain news item.,FR,Functional,Non-Ambiguous
User shall be able to tweet a certain news item.,FR,Functional,Non-Ambiguous
Administrators shall be able to modify the list of English news RSS feeds.,FR,Functional,Non-Ambiguous
Administrators shall be able to modify the list of Dutch news RSS feeds.,FR,Functional,Non-Ambiguous
System shall show upcoming events on the title screen when the agenda app is started.,FR,Functional,Non-Ambiguous
System shall provide a calendar view.,FR,Functional,Non-Ambiguous
User shall be able to open calendar view.,FR,Functional,Non-Ambiguous
User shall be able to close calendar view.,FR,Functional,Non-Ambiguous
User shall be able to change the calendar to a different month.,FR,Functional,Non-Ambiguous
User shall be able to see on which days events take place in calendar view.,FR,Functional,Non-Ambiguous
System shall be able to indicate the current day on the calendar.,FR,Functional,Non-Ambiguous
System shall be able to show events for a selected day in the calendar.,FR,Functional,Non-Ambiguous
User shall be able to search for events by date.,FR,Functional,Non-Ambiguous
User shall be able to search for events by subject.,FR,Functional,Non-Ambiguous
System shall display a set of events that match the search input by date or subject.,FR,Functional,Non-Ambiguous
User shall be able to like a certain event.,FR,Functional,Non-Ambiguous
User shall be able to tweet a certain event.,FR,Functional,Non-Ambiguous
System shall extract only events available in the agenda app from the agenda RSS feeds in the selected language.,FR,Functional,Non-Ambiguous
Administrators shall be able to modify the list of agenda RSS feeds available in English.,FR,Functional,Non-Ambiguous
Administrators shall be able to modify the list of agenda RSS feeds available in Dutch.,FR,Functional,Non-Ambiguous
User shall be able to search for a person by name.,FR,Functional,Non-Ambiguous
User shall be able to search for a person by department.,FR,Functional,Non-Ambiguous
System shall be able to display a set of employees that match the search input when a user performs a search by name.,FR,Functional,Non-Ambiguous
System shall be able to allow users to view all personal information available through the employee pages for a selected person.,FR,Functional,Non-Ambiguous
System shall be able to show the location of a selected employee's office on the map view.,FR,Functional,Non-Ambiguous
System shall be able to plan a route to the location of a selected employee's office.,FR,Functional,Non-Ambiguous
System shall be able to display the most searched items on the title screen when the Encyclopedia app is launched.,FR,Functional,Non-Ambiguous
System shall be able to display the most recent items on the title screen when the Encyclopedia app is launched.,FR,Functional,Non-Ambiguous
User shall be able to search the book by a certain word or phrase.,FR,Functional,Non-Ambiguous
User shall be able to see a displayed set of topics when performing a search.,FR,Functional,Non-Ambiguous
User shall be able to select a topic from the search result list.,FR,Functional,Non-Ambiguous
User shall be able to view the full text regarding a topic by clicking on it.,FR,Functional,Non-Ambiguous
User shall be able to like a certain topic.,FR,Functional,Non-Ambiguous
User shall be able to tweet a certain topic.,FR,Functional,Ambiguous
User shall be able to see the most searched items on the title screen when starting the student handbook app.,FR,Functional,Non-Ambiguous
User shall be able to select a topic from the search results obtained through a search described in requirement UCAR702.,FR,Functional,Non-Ambiguous
User shall be able to see the TU/e Facebook page on the title screen when starting the Facebook app.,FR,Functional,Non-Ambiguous
User shall be able to select other TU/e related Facebook sites from a list.,FR,Functional,Non-Ambiguous
System shall show the TU/e Facebook page on the title screen when the Facebook app is started.,FR,Functional,Non-Ambiguous
System shall allow users to select other TU/e related Facebook sites from a list upon starting the Facebook app.,FR,Functional,Non-Ambiguous
Administrators shall be able to modify the list of TU/e related Facebook sites.,FR,Functional,Non-Ambiguous
System shall show the TU/e Twitter page on the title screen when the Twitter app is started.,FR,Functional,Non-Ambiguous
System shall allow users to select other TU/e related Twitter sites from a list upon starting the Twitter app.,FR,Functional,Non-Ambiguous
Administrators shall be able to modify the list of TU/e related Twitter sites.,FR,Functional,Non-Ambiguous
Users shall be able to download the mobile application for free through an application store or similar service on the mobile phone.,NFR,Availability,Non-Ambiguous
Users shall be able to check for new software releases and download them manually through the mobile phone.,FR,Functional,Non-Ambiguous
"Users shall be able to register on the mobile application by providing a username, password, and email address, with the option to provide a phone number.",FR,Functional,Non-Ambiguous
Users shall be able to log in to the mobile application with credentials stored on the phone for automatic future login.,FR,Functional,Non-Ambiguous
User shall be able to retrieve their password by email if they forget it.,FR,Functional,Non-Ambiguous
"Users shall be able to search for restaurants on the mobile application using various options including price, destination, restaurant type, specific dish, and free text with the ability to combine multiple options in a single search.",FR,Functional,Ambiguous
"Users shall be able to view search results on a map with a maximum of 100 restaurants displayed, including pins with information links, a default zoom level, and a button to access filtering options.",FR,Functional,Non-Ambiguous
"Users shall be able to view search results in a list containing details like restaurant name, contact information, distance, price, description, links, and sort/filter the results by various criteria.",FR,Functional,Ambiguous
"User shall be able to select a restaurant from the map or list and navigate there using the phone's GPS, then return to the search page upon arrival.",FR,Functional,Non-Ambiguous
Users shall be able to switch between a map view and a list view for all search options.,FR,Functional,Non-Ambiguous
"Users shall be able to view a detailed restaurant information page including picture, name, contact details, food type, price range, description, and menu by selecting the information link on search results.",FR,Functional,Non-Ambiguous
User shall be able to search for restaurants by price range (minimum and maximum) with results displayed in a list view by default.,FR,Functional,Non-Ambiguous
User shall be able to search for restaurants by entering a desired distance range (minimum and maximum) from their current location.,FR,Functional,Non-Ambiguous
"The user shall be able to search by price and destination, entering integers for their desired values, and be informed if they enter an invalid input.",FR,Functional,Non-Ambiguous
The user shall be able to choose a restaurant type from a list and see the results on a map.,FR,Functional,Non-Ambiguous
The user shall be able to choose a dish from a list and see results on a map.,FR,Functional,Non-Ambiguous
"The user shall be able to search for restaurants by any criteria (name, description, address, type, or menu) in a free-text field, with results shown on a map.",FR,Functional,Ambiguous
The user shall be able to refine their search directly on the same page if their initial search yields no results.,FR,Functional,Non-Ambiguous
Users shall be able to sort search results by various criteria with ascending or descending order.,FR,Functional,Ambiguous
"The user shall be able to filter search results by distance, price, restaurant type, and specific dish.",FR,Functional,Non-Ambiguous
"The user shall be able to edit their profile information and choose the app language (Swedish, English, Spanish, French) on the profile page.",FR,Functional,Non-Ambiguous
"User shall be able to register and apply for verification on the web portal by providing username, password, address, email address, and phone number.",FR,Functional,Non-Ambiguous
User (restaurant owner) shall be able to apply for verification after registering on the web portal.,FR,Functional,Non-Ambiguous
Users shall be able to log in only after receiving a confirmation email following verification of their restaurant owner application.,FR,Functional,Non-Ambiguous
User shall be able to log in as a restaurant owner upon successful authentication.,FR,Functional,Non-Ambiguous
User shall be able to reset their password by entering their email address and receiving a password reset link.,FR,Functional,Non-Ambiguous
The user shall be able to manage information through a web form.,FR,Functional,Ambiguous
"The user shall be able to complete mandatory registration by providing restaurant name, address, phone number, email address, and average price.",FR,Functional,Non-Ambiguous
"A user shall be able to optionally provide a restaurant description, menu, type, picture, and mobile number to enhance their listing.",FR,Functional,Ambiguous
"The user shall be able to create a menu entry by providing a dish name, description, and price.",FR,Functional,Non-Ambiguous
"User shall be able to add restaurant information upon submitting the form, provided all mandatory fields are completed.",FR,Functional,Non-Ambiguous
User shall be able to add restaurant information by completing mandatory fields and optionally adding additional details.,FR,Functional,Non-Ambiguous
The user shall be able to delete information from their restaurant listing.,FR,Functional,Non-Ambiguous
The system shall allow authenticated restaurant owners to edit existing restaurant information.,FR,Functional,Non-Ambiguous
"The system shall be able to display content in the user's preferred language, allowing the restaurant owner to switch to English and view all text in English.",NFR,Usability,Non-Ambiguous
The system shall be able to display content in the user's preferred language upon selection.,NFR,Usability,Non-Ambiguous
The system shall allow the restaurant owner to select French as the preferred language for the web portal interface.,NFR,Usability,Non-Ambiguous
The system shall allow administrators to log in with their accounts and grant them administrative privileges.,FR,Functional,Non-Ambiguous
"The system shall allow administrators to verify restaurant owners, granting them login access and sending confirmation emails.",FR,Functional,Non-Ambiguous
"The system shall allow administrators to reject restaurant owners, disabling their login and sending a rejection email.",FR,Functional,Non-Ambiguous
The system shall allow administrators to add new restaurant types.,FR,Functional,Non-Ambiguous
"The system shall allow administrators to edit restaurant types, updating the list accordingly.",FR,Functional,Non-Ambiguous
"The system shall allow administrators to delete restaurant types, removing them from the list.",FR,Functional,Non-Ambiguous
The system shall be able to add a new dish to the list upon creation by an administrator.,FR,Functional,Non-Ambiguous
The system shall be able to update an existing dish in the list upon edit by an administrator.,FR,Functional,Non-Ambiguous
The system shall allow administrators to permanently remove dishes from the list.,FR,Functional,Non-Ambiguous
The system shall be able to add restaurant information upon administrator login.,FR,Functional,Non-Ambiguous
The system shall be able to delete restaurant information upon administrator confirmation.,FR,Functional,Non-Ambiguous
The system shall allow administrators to edit existing restaurant information.,FR,Functional,Non-Ambiguous
The system shall be able to update user information when an administrator edits an existing user profile.,FR,Functional,Non-Ambiguous
The system shall allow administrators to delete existing user accounts.,FR,Functional,Non-Ambiguous
The system shall be able to add a new restaurant owner upon creation by an administrator.,FR,Functional,Non-Ambiguous
The system shall allow administrators to update restaurant owner information.,FR,Functional,Non-Ambiguous
"The system shall be able to delete a restaurant owner upon administrator confirmation, also removing all associated restaurant information.",FR,Functional,Non-Ambiguous
The system shall display all text in English when the administrator selects English as the preferred language.,NFR,Usability,Non-Ambiguous
The system shall be able to display the web-portal in Swedish upon administrator selection.,NFR,Usability,Non-Ambiguous
The user shall be able to select French as their preferred language for the web portal.,NFR,Usability,Non-Ambiguous
The user shall be able to change the web-portals language to Spanish.,NFR,Usability,Non-Ambiguous
The system shall display a search bar prominently to enable users to easily find the information they need.,NFR,Usability,Ambiguous
"The system shall present search options in a clear, understandable way.",NFR,Usability,Ambiguous
"The system shall display user-friendly, one-click selectable results in the list view.",NFR,Usability,Ambiguous
The system shall display user-friendly map view results requiring a single click to select a pin.,NFR,Usability,Ambiguous
"The system shall ensure the information link is clearly visible, clickable in one action, and functions as a link.",NFR,Usability,Ambiguous
The user shall be able to create an account by providing credentials and activating it via email.,FR,Functional,Non-Ambiguous
The user shall be able to log in to the system by entering their username or email and password.,FR,Functional,Non-Ambiguous
User shall be able to log out of the system.,FR,Functional,Non-Ambiguous
"Users shall be able to search for items by filtering by price, location, and category.",FR,Functional,Non-Ambiguous
"Users shall be able to browse profiles of other users, including usernames, profile photos, and their items.",FR,Functional,Non-Ambiguous
The user shall be able to browse categories and see the item count for each.,FR,Functional,Non-Ambiguous
"User shall be able to browse items including pictures, prices, and other features.",FR,Functional,Non-Ambiguous
"User shall be able to change profile information including username, email address, profile picture, and password.",FR,Functional,Non-Ambiguous
User shall be able to confirm username and password changes through email notification.,FR,Functional,Non-Ambiguous
User shall be able to purchase credits using credit card or PayPal account.,FR,Functional,Non-Ambiguous
"The user shall be able to purchase items in their cart using credits, if allowed by the item.",FR,Functional,Non-Ambiguous
"The user shall be able to request an exchange for an item they want, if the item they have is eligible for exchange.",FR,Functional,Non-Ambiguous
The user shall be able to approve an exchange offer from another user.,FR,Functional,Non-Ambiguous
The user shall be able to decline an exchange offer from another user.,FR,Functional,Non-Ambiguous
The user shall be able to notify the recipient that their item has been shipped.,FR,Functional,Non-Ambiguous
"Users shall be able to freely add items with details, price, amount, and pictures.",FR,Functional,Ambiguous
"The user shall be able to edit their existing items, including adding/removing pictures and changing price and details.",FR,Functional,Ambiguous
The user shall be able to remove an item they no longer wish to sell/exchange by tapping the Remove the item button.,FR,Functional,Non-Ambiguous
Users can permanently delete their accounts and access to the system.,FR,Functional,Non-Ambiguous
The user shall be able to mark an item as a favorite for change notifications.,FR,Functional,Non-Ambiguous
Users shall be able to provide ratings and comments about their trading partners.,FR,Functional,Non-Ambiguous
The system shall accept GET requests with a question in a single URL parameter and a Content-Type header of application/json.,NFR,Maintainability,Non-Ambiguous
"System shall be able to respond to API queries with either JSON data or error messages, using appropriate response codes and headers.",NFR,Maintainability,Ambiguous
"The system shall return a JSON response containing either successful data or error messages, but not both.",NFR,Maintainability,Non-Ambiguous
The system shall be able to anonymize text by replacing identified keywords with generic terms and provide a mapping between them.,FR,Functional,Non-Ambiguous
The system shall be able to maintain a list of generic words associated with potential user queries.,FR,Functional,Non-Ambiguous
"The system shall return a user-friendly message like Sorry, I didn't understand that when it encounters an error parsing the input.",FR,Functional,Ambiguous
"The system shall be able to condense the output sentence from the Generic Question Construction unit into a single, concise sentence.",FR,Functional,Ambiguous
"This system will convert an input question about a specific entity and property (e.g., building closing time) into a generic answer sentence (e.g., building closes at specific time).",FR,Functional,Non-Ambiguous
The system shall be able to handle generic sentence failures by falling back to error handling in R4.4.2.1.,FR,Functional,Non-Ambiguous
